Date,Open,High,Low,Close,Volume
2016/6/8,3171.813,3174.971,3148.351,3163.986,7629177500
2016/6/7,3182.437,3186.616,3168.179,3177.053,6892831400
2016/6/6,3192.779,3197.22,3168.554,3178.788,7669375100
2016/6/3,3172.946,3201.749,3162.088,3189.325,10149178300
2016/6/2,3158.025,3168.824,3151.065,3167.099,8600342700
2016/6/1,3172.961,3181.792,3159.817,3160.547,11314848200
2016/5/31,3068.596,3170.926,3068.596,3169.559,13886311100
2016/5/30,3056.313,3075.261,3037.664,3066.709,6309857900
2016/5/27,3059.732,3073.756,3052.179,3062.499,6046875000
2016/5/26,3056.6,3072.524,3027.444,3064.211,6039298100
2016/5/25,3079.748,3089.102,3054.869,3059.225,5665280300
2016/5/24,3083.244,3083.257,3052.59,3063.555,5873438500
2016/5/23,3078.515,3098.478,3076.503,3087.222,5969721600
2016/5/20,3047.777,3078.531,3041.516,3078.218,5608084200
2016/5/19,3060.342,3086.977,3058.145,3062.5,6044416600
2016/5/18,3071.529,3072.612,3039.461,3068.035,8271536900
2016/5/17,3095.522,3105.201,3073.459,3086.024,6527812500
2016/5/16,3064.526,3095.555,3053.661,3095.308,5946185600
2016/5/13,3081.679,3103.095,3064.691,3074.935,6262975500
2016/5/12,3059.383,3095.348,3035.022,3090.137,7876572600
2016/5/11,3080.636,3102.876,3063.088,3082.808,8179425800
2016/5/10,3055.211,3084.724,3055.183,3069.112,6884993500
2016/5/9,3115.43,3115.43,3055.005,3065.615,9923047700
2016/5/6,3213.136,3216.893,3130.147,3130.354,10868024000
2016/5/5,3204.169,3217.282,3196.566,3213.92,7473368100
2016/5/4,3203.465,3222.882,3198.292,3209.461,9086240800
2016/5/3,3159.823,3218.485,3151.405,3213.54,9816483500
2016/4/29,3153.537,3171.289,3149.397,3156.745,5802977600
2016/4/28,3169.333,3174.766,3135.643,3160.581,6987066000
2016/4/27,3181.931,3188.826,3162.691,3165.916,6000414700
2016/4/26,3159.771,3181.095,3150.404,3179.161,5902073400
2016/4/25,3164.738,3172.269,3137.113,3162.033,6751935100
2016/4/22,3142.561,3175.38,3137.993,3174.901,7707849200
2016/4/21,3160.796,3198.557,3150.94,3160.603,10475265100
2016/4/20,3244.142,3248.422,3107.369,3181.026,16220785800
2016/4/19,3243.971,3250.725,3221.577,3238.303,8087144000
2016/4/18,3252.671,3252.671,3221.662,3228.453,9709006900
2016/4/15,3279.857,3282.985,3261.73,3272.205,9980752900
2016/4/14,3277.098,3286.072,3252.05,3275.832,11315732700
2016/4/13,3237.858,3296.523,3237.858,3261.383,19561386600
2016/4/12,3227.367,3232.264,3198.903,3218.45,9286943700
2016/4/11,3213.507,3251.572,3213.507,3230.096,12521270900
2016/4/8,3189.846,3197.774,3163.305,3185.726,10100562500
2016/4/7,3266.288,3270.82,3208.644,3209.29,11240946700
2016/4/6,3250.522,3267.64,3236.196,3257.528,12019630500
2016/4/5,3211.305,3271.93,3205.207,3264.486,14604777200
2016/4/1,3213.674,3222.612,3165.856,3221.895,11812213900
2016/3/31,3229.2,3241.927,3208.665,3218.088,12155207400
2016/3/30,3161.289,3216.676,3161.289,3216.275,11780251200
2016/3/29,3171.314,3178.075,3122.761,3135.41,9729474700
2016/3/28,3206.953,3229.624,3161.878,3169.728,10344193300
2016/3/25,3176.81,3204.442,3174.318,3197.817,9739533000
2016/3/24,3211.496,3221.906,3181.813,3181.851,13313112200
2016/3/23,3217.729,3242.247,3202.976,3236.092,12567928600
2016/3/22,3231.615,3249.677,3218.728,3225.79,16102089700
2016/3/21,3203.293,3267.775,3198.361,3249.437,23326946400
2016/3/18,3136.223,3197.668,3130.102,3171.963,19730256400
2016/3/17,3096.808,3147.841,3077.572,3124.204,12166177700
2016/3/16,3068.866,3100.352,3064.521,3090.033,12473644800
2016/3/15,3061.343,3077.085,3028.578,3074.78,9831194100
