Date,Date,Open,High,Low,Close,Volume,Adj Close,EMA13,EMA26,EMA12,diff,dea,macd
2015-06-01,2015-06-01,4.818,5.08,4.801,5.07,1754210400,5.07,5.07,5.07,5.07,0.0,0.0,0.0
2015-06-02,2015-06-02,5.07,5.162,5.002,5.156,1512321500,5.156,5.11630769231,5.11465384615,5.11658333333,0.00192948717949,0.00107193732194,0.0017150997151
2015-06-03,2015-06-03,5.156,5.166,5.025,5.113,1430179600,5.113,5.11503149606,5.11405963529,5.11518475751,0.00112512221745,0.00109373441026,6.27756143801e-05
2015-06-04,2015-06-04,5.115,5.18,4.709,5.171,2182733600,5.171,5.13240452489,5.12997767299,5.13280344828,0.00282577528416,0.00168046912364,0.00229061232103
2015-06-05,2015-06-05,5.2,5.25,5.051,5.179,1440508500,5.179,5.14479249253,5.14134615282,5.14535488627,0.00400873345155,0.00237307512314,0.00327131665682
2015-06-08,2015-06-08,5.195,5.35,5.132,5.306,2523308000,5.306,5.18295702393,5.17432500518,5.18440010042,0.0100750952373,0.00446075079811,0.0112286888784
2015-06-09,2015-06-09,5.315,5.323,5.196,5.263,1762319800,5.263,5.20028015644,5.19009539333,5.20193939301,0.0118439996794,0.0063292541228,0.0110294911131
2015-06-10,2015-06-10,5.234,5.347,5.196,5.258,703179000,5.258,5.21191604884,5.20103650803,5.21363837762,0.0126018695932,0.00783668157691,0.00953037603266
2015-06-11,2015-06-11,5.258,5.3,5.206,5.259,734093700,5.259,5.22088124922,5.20962797001,5.22261252108,0.0129845510757,0.00902586496985,0.00791737221175
2015-06-12,2015-06-12,5.281,5.328,5.235,5.298,820533200,5.298,5.23489878337,5.22182245005,5.23689841904,0.01507596899,0.0103814394784,0.0093890590232
2015-06-15,2015-06-15,5.313,5.331,5.158,5.171,877839300,5.171,5.22371916562,5.21523076218,5.22484059728,0.00960983510098,0.0102126168495,-0.00120556349711
2015-06-16,2015-06-16,5.149,5.166,4.98,5.035,912758600,5.035,5.19172814179,5.19308657325,5.1910875623,-0.00199901095147,0.00759007133378,-0.0191781645705
2015-06-17,2015-06-17,5.037,5.138,4.935,5.11,1094024200,5.11,5.17823362429,5.18335299618,5.17700768101,-0.0063453151716,0.00464085939154,-0.0219723491263
2015-06-18,2015-06-18,5.079,5.09,4.894,4.909,872297800,4.909,5.1347470993,5.1525398897,5.13137452994,-0.0211653597605,-0.000757820909499,-0.040815077702
2015-06-19,2015-06-19,4.844,4.889,4.591,4.603,1084007900,4.603,5.0504329994,5.09309313485,5.04286275072,-0.0502303841318,-0.0110131612649,-0.0784344457338
2015-06-23,2015-06-23,4.616,4.784,4.446,4.766,1760686600,4.766,5.00603042399,5.05887650594,4.99710899822,-0.0617675077163,-0.0214580274004,-0.0806189606318
2015-06-24,2015-06-24,4.79,4.877,4.68,4.871,1341641300,4.871,4.98522663857,5.03980539989,4.97650363481,-0.0633017650738,-0.0300195635911,-0.0665644029654
2015-06-25,2015-06-25,4.892,4.915,4.662,4.696,676086200,4.696,4.94116023969,5.00583803252,4.93110465463,-0.0747333778973,-0.0391263802773,-0.0712139952401
2015-06-26,2015-06-26,4.59,4.658,4.229,4.346,989303600,4.346,4.85133551719,4.9422200984,4.83715833166,-0.105061766746,-0.0525062822804,-0.105110968932
2015-06-29,2015-06-29,4.443,4.445,3.96,4.182,1734794000,4.182,4.75112438716,4.87052556487,4.73266584974,-0.137859715132,-0.0697760760166,-0.136167278232
2015-06-30,2015-06-30,4.19,4.485,3.996,4.484,2765317600,4.484,4.71140372711,4.83479619733,4.69322830416,-0.141567893171,-0.0842681048206,-0.1145995767
2015-07-01,2015-07-01,4.414,4.532,4.171,4.197,1386366400,4.197,4.63535742885,4.7769031599,4.61490029666,-0.162002863249,-0.0999306255106,-0.124144475477
2015-07-02,2015-07-02,4.28,4.322,3.96,4.108,2261637400,4.108,4.55778220602,4.71718362877,4.5352065698,-0.181977058969,-0.11643735071,-0.13107941652
2015-07-03,2015-07-03,4.108,4.185,3.785,3.919,3581953600,3.919,4.46421336569,4.64698931946,4.43865349452,-0.208335824943,-0.134904253037,-0.146863143812
2015-07-06,2015-07-06,4.308,4.308,3.83,4.025,4918303600,4.025,4.40010961723,4.59303820833,4.37402211828,-0.21901609004,-0.151790414552,-0.134451350976
2015-07-07,2015-07-07,3.92,3.982,3.769,3.848,3383389200,3.848,4.31977707657,4.52922214913,4.29203038567,-0.237191763465,-0.168922462773,-0.136538601383
2015-07-08,2015-07-08,3.55,3.7,3.463,3.463,1658607400,3.463,4.19544382245,4.43894068092,4.16306953129,-0.275871149621,-0.190364042702,-0.171014213838
2015-07-09,2015-07-09,3.42,3.809,3.41,3.809,1392556500,3.809,4.13949057137,4.38616045601,4.10808583146,-0.278074624543,-0.207940156218,-0.14026893665
2015-07-10,2015-07-10,3.93,4.19,3.862,4.189,1249760100,4.189,4.14664521811,4.36980005672,4.12063292341,-0.249167133302,-0.216198330541,-0.0659376055227
2015-07-13,2015-07-13,4.15,4.316,4.1,4.234,1032250400,4.234,4.15924808611,4.35863082478,4.13819095013,-0.220439874652,-0.21704769082,-0.00678436766345
2015-07-14,2015-07-14,4.165,4.297,4.092,4.154,909731900,4.154,4.15849200301,4.34193687457,4.14063689567,-0.201299978899,-0.213895026188,0.0251900945776
2015-07-15,2015-07-15,4.092,4.139,3.9,3.945,600683500,3.945,4.12777177113,4.30979571487,4.11039470287,-0.199401011999,-0.210993924861,0.0231858257232
2015-07-16,2015-07-16,3.93,4.103,3.89,4.036,633754900,4.036,4.11458003683,4.28777756229,4.09890299659,-0.188874565702,-0.206567247289,0.0353853631747
2015-07-17,2015-07-17,4.07,4.23,4.023,4.2,733647700,4.2,4.12684783822,4.28076315081,4.11450966459,-0.166253486219,-0.1985004047,0.0644938369622
2015-07-20,2015-07-20,4.183,4.254,4.134,4.188,689596100,4.188,4.13562368593,4.27339335343,4.12584862672,-0.147544726705,-0.188305133407,0.0815208134045
2015-07-21,2015-07-21,4.134,4.244,4.105,4.214,471259400,4.214,4.14686402372,4.26869992158,4.13944360831,-0.12925631327,-0.176491535648,0.0944704447561
2015-07-22,2015-07-22,4.2,4.225,4.136,4.194,366573700,4.194,4.15362026007,4.26282598991,4.14785429564,-0.114971694268,-0.16418437225,0.0984253559633
2015-07-23,2015-07-23,4.199,4.32,4.181,4.308,520488900,4.308,4.17573771446,4.26636206653,4.17253529169,-0.0938267748375,-0.15010992962,0.112566309565
2015-07-24,2015-07-24,4.302,4.336,4.192,4.218,420040900,4.218,4.18179000884,4.26259228242,4.17954023578,-0.0830520466348,-0.136696124272,0.107288155275
2015-07-27,2015-07-27,4.136,4.196,3.796,3.8,508691400,3.8,4.12713382504,4.22667277916,4.12107617105,-0.105596608113,-0.130475394164,0.049757572102
2015-07-28,2015-07-28,3.722,3.92,3.666,3.846,761611900,3.846,4.0868994433,4.19721945864,4.07871184186,-0.118507616786,-0.128081584134,0.0191479346975
2015-07-29,2015-07-29,3.881,3.996,3.81,3.989,524545700,3.989,4.07289220189,4.18116210597,4.06489762641,-0.116264479559,-0.125717962145,0.0189069651719
2015-07-30,2015-07-30,3.95,4.011,3.839,3.85,390171500,3.85,4.04100830276,4.15570121737,4.03181133602,-0.123889881349,-0.125352321101,0.00292487950459
2015-07-31,2015-07-31,3.841,3.91,3.805,3.851,350509100,3.851,4.01383346252,4.13234036311,4.00397632763,-0.128364035479,-0.125954696773,-0.00481867741159
2015-08-03,2015-08-03,3.794,3.86,3.765,3.852,219344000,3.852,3.99069191693,4.11090281743,3.98058263908,-0.130320178353,-0.126827831119,-0.00698469446618
2015-08-04,2015-08-04,3.861,4.011,3.839,4.005,282740100,4.005,3.99273763211,4.10282381425,3.98434088459,-0.118482929667,-0.125158792671,0.0133517260087
2015-08-05,2015-08-05,3.987,3.995,3.877,3.916,373591700,3.916,3.98176728396,4.08860306364,3.97382280922,-0.114780254421,-0.123083027157,0.0166055454731
2015-08-06,2015-08-06,3.856,3.93,3.838,3.873,295871400,3.873,3.96621958967,4.07222516299,3.95830649856,-0.113918664437,-0.121250113738,0.0146628986027
2015-08-07,2015-08-07,3.901,3.98,3.9,3.953,685893200,3.953,3.96433008613,4.06318551411,3.95748988664,-0.105695627468,-0.118139160983,0.0248870670287
2015-08-10,2015-08-10,3.98,4.164,3.961,4.148,399159500,4.148,3.99058044291,4.06960493863,3.98680604637,-0.0827988922646,-0.111071006359,0.0565442281889
2015-08-11,2015-08-11,4.135,4.148,4.081,4.099,300425200,4.099,4.00607491992,4.07182620251,4.00407009859,-0.067756103923,-0.102407926957,0.069303646068
2015-08-12,2015-08-12,4.058,4.128,4.048,4.057,388521500,4.057,4.01335233431,4.07070751624,4.0122145351,-0.0584929811412,-0.0936248575659,0.0702637528494
2015-08-13,2015-08-13,4.058,4.117,4.001,4.112,465258700,4.112,4.0274488476,4.07381888006,4.02756833804,-0.0462505420197,-0.0841499252185,0.0757987663977
2015-08-14,2015-08-14,4.127,4.145,4.091,4.102,545842800,4.102,4.03810159648,4.07593960589,4.03902074704,-0.0369188588529,-0.0747036567224,0.0755695957391
2015-08-17,2015-08-17,4.08,4.116,4.045,4.109,345598600,4.109,4.04823204631,4.07842458316,4.04978788702,-0.0286366961329,-0.0654902215151,0.0737070507644
2015-08-18,2015-08-18,4.11,4.135,3.82,3.827,460601200,3.827,4.01662183439,4.05954689958,4.01550986143,-0.044037038148,-0.0611995687884,0.0343250612808
2015-08-19,2015-08-19,3.795,3.935,3.7,3.915,591963500,3.915,4.00210221134,4.04870483866,4.00004567358,-0.0486591650727,-0.0586914805382,0.020064630931
2015-08-20,2015-08-20,3.874,3.913,3.801,3.815,233326400,3.815,3.97536982356,4.03119163105,3.9715753446,-0.05961628645,-0.0588764421634,-0.00147968857312
2015-08-21,2015-08-21,3.8,3.813,3.616,3.625,693138000,3.625,3.92531137317,4.00077898314,3.91825326558,-0.0825257175514,-0.0636063063016,-0.0378388224995
2015-08-24,2015-08-24,3.51,3.514,3.263,3.263,542239600,3.263,3.83068635942,3.9455835864,3.81744059915,-0.128142987242,-0.0765136622703,-0.103258649944
2015-08-25,2015-08-25,3.105,3.23,2.974,2.983,710535800,2.983,3.70957832145,3.87362306928,3.68906030391,-0.18456276537,-0.0981235093837,-0.172878511972
2015-08-26,2015-08-26,3.07,3.221,2.986,3.067,735620600,3.067,3.61777492968,3.81336299305,3.59335567927,-0.220007313783,-0.122500294172,-0.195014039221
2015-08-27,2015-08-27,3.123,3.27,3.066,3.257,708696200,3.257,3.56623253141,3.77182527326,3.54160726108,-0.23021801218,-0.144043854678,-0.172348315005
2015-08-28,2015-08-28,3.277,3.42,3.236,3.402,568256000,3.402,3.54276952281,3.74423049677,3.52012873253,-0.224101764247,-0.160055446642,-0.128092635209
2015-08-31,2015-08-31,3.32,3.402,3.245,3.395,313629100,3.395,3.52165865133,3.71818652066,3.5008777879,-0.217308732754,-0.171506109615,-0.091605246279
2015-09-01,2015-09-01,3.301,3.398,3.218,3.382,227411300,3.382,3.50170665423,3.69312786379,3.48258859971,-0.210539264083,-0.179312743645,-0.0624530408766
2015-09-02,2015-09-02,3.279,3.42,3.231,3.372,244408900,3.372,3.48317652624,3.66920274695,3.46557473461,-0.203628012336,-0.184175798946,-0.038904426781
2015-09-07,2015-09-07,3.37,3.472,3.277,3.289,178587400,3.289,3.45543624494,3.64088850657,3.43840907418,-0.202479432394,-0.187836526577,-0.0292858116339
2015-09-08,2015-09-08,3.25,3.394,3.19,3.378,203250000,3.378,3.44437365845,3.62131860098,3.42911527879,-0.192203322183,-0.188709885877,-0.00698687261028
2015-09-09,2015-09-09,3.398,3.468,3.373,3.442,188386400,3.442,3.4440345574,3.60797470089,3.43109756014,-0.176877140752,-0.186343336463,0.0189323914223
2015-09-10,2015-09-10,3.397,3.448,3.376,3.381,101627900,3.381,3.43502946168,3.59109024454,3.42339018877,-0.167700055772,-0.182614679834,0.029829248123
2015-09-11,2015-09-11,3.389,3.442,3.359,3.388,255079900,3.388,3.4283108655,3.57598729139,3.41794551181,-0.158041779584,-0.177700099266,0.0393166393648
2015-09-14,2015-09-14,3.398,3.407,3.2,3.269,198007100,3.269,3.40555187528,3.55316461534,3.39503070183,-0.158133913508,-0.173786861785,0.0313058965536
2015-09-15,2015-09-15,3.238,3.277,3.162,3.173,216623700,3.173,3.37232980953,3.52490926928,3.36087198618,-0.164037283095,-0.171836945916,0.0155993256405
