Date,Open,High,Low,Close,Volume,MA5,MA20,MA60
2015/6/1,4862.756,5079.319,4835.774,5076.179,41750374100,,,
2015/6/2,5091.272,5162.556,5047.081,5161.87,41297319600,,,
2015/6/3,5176.597,5186.967,5059.495,5143.59,41425827000,,,
2015/6/4,5156.012,5194.233,4863.465,5181.416,48276726800,,,
2015/6/5,5254.905,5288.34,5104.178,5230.552,54596119600,5158.7214,,
2015/6/8,5259.408,5370.609,5202.595,5353.751,63731323700,5214.2358,,
2015/6/9,5379.47,5380.426,5251.208,5317.461,57042726300,5245.354,,
2015/6/10,5254.304,5374.83,5209.68,5309.112,44216567600,5278.4584,,
2015/6/11,5305.141,5329.295,5248.163,5306.59,39233875500,5303.4932,,
2015/6/12,5329.278,5351.648,5283.086,5335.115,43013138600,5324.4058,,
2015/6/15,5354.014,5362.452,5207.308,5221.167,47574570300,5297.889,,
2015/6/16,5165.025,5204.303,5015.265,5064.821,41167563800,5247.361,,
2015/6/17,5072.306,5158.367,4949.293,5138.831,39712418700,5213.3048,,
2015/6/18,5107.695,5121.218,4926.429,4930.549,36439581400,5138.0966,,
2015/6/19,4847.057,4910.45,4634.691,4637.052,35810474400,4998.484,,
2015/6/23,4641.425,4786.955,4455.33,4786.091,36508794400,4911.4688,,
2015/6/24,4811.595,4883.732,4744.306,4880.126,43463872300,4874.5298,,
2015/6/25,4906.242,4919.263,4667.224,4706.516,44613598200,4788.0668,,
2015/6/26,4573.872,4650.186,4278.675,4336.195,44663979000,4669.196,,
2015/6/29,4446.842,4451.166,4000.926,4191.549,52566248200,4580.0954,5015.42665,
2015/6/30,4161.067,4475.767,4016.013,4472.998,52704528000,4517.4768,4985.2676,
2015/7/1,4408.984,4526.127,4235.696,4253.021,43172141100,4392.0558,4939.82515,
2015/7/2,4287.734,4312.19,4000.061,4107.996,45706219400,4272.3518,4888.04545,
2015/7/3,4017.202,4164.629,3785.902,3885.917,42930085000,4182.2962,4823.2705,
2015/7/6,4218.266,4218.266,3832.468,3998.537,64809453000,4143.6938,4761.66975,
2015/7/7,3877.854,3960.636,3743.624,3928.003,67938500700,4034.6948,4690.38235,
2015/7/8,3651.06,3762.622,3612.254,3663.038,58146709700,3916.6982,4607.6612,
2015/7/9,3621.68,3930.264,3537.826,3897.626,50387061000,3874.6242,4537.0869,
2015/7/10,3916.272,4179.111,3887.551,4106.556,50070180200,3918.752,4477.0852,
2015/7/13,4132.231,4278.161,4072.43,4211.812,50209218600,3961.407,4420.92005,
2015/7/14,4178.63,4258.513,4062.5,4112.149,45442200900,3998.2362,4365.46915,
2015/7/15,4068.88,4114.243,3899.508,3966.759,42195636700,4058.9804,4310.56605,
2015/7/16,3949.639,4067.022,3856.321,3997.356,33053134500,4078.9264,4253.4923,
2015/7/17,4023.757,4190.186,4000.231,4151.496,33110713100,4087.9144,4214.53965,
2015/7/20,4157.06,4221.693,4106.389,4160.612,35267347200,4077.6744,4190.71765,
2015/7/21,4109.761,4201.482,4081.704,4166.006,31837494500,4088.4458,4159.7134,
2015/7/22,4148.56,4187.431,4094.712,4157.16,31894599700,4126.526,4123.5651,
2015/7/23,4158.932,4262.062,4148.824,4250.805,35447175900,4177.2158,4100.77955,
2015/7/24,4255.198,4299.65,4154.617,4176.279,39204537300,4182.1724,4092.78375,
2015/7/27,4097.796,4156.313,3817.169,3818.731,36505451100,4113.7962,4074.14285,
2015/7/28,3690.974,3883.446,3627.421,3811.093,38352721600,4042.8136,4041.0476,
2015/7/29,3839.959,3934.003,3769.189,3930.379,27697284500,3997.4574,4024.9155,
2015/7/30,3915.78,3968.534,3802.882,3815.412,27154866500,3910.3788,4010.2863,
2015/7/31,3777.155,3863.624,3757.989,3816.699,22237676700,3838.4628,4006.8254,
2015/8/3,3766.072,3829.235,3742.578,3829.235,24580503000,3840.5636,3998.3603,
2015/8/4,3827.373,3948.449,3801.028,3948.155,22023655600,3867.976,3999.3679,
2015/8/5,3937.623,3962.277,3858.66,3866.9,20048426900,3855.2802,4009.561,
2015/8/6,3802.928,3888.693,3793.237,3831.852,14727869400,3858.5682,4006.2723,
2015/8/7,3866.43,3926.649,3857.908,3906.945,18334915300,3876.6174,3996.29175,
2015/8/10,3947.472,4101.731,3932.842,4084.365,30678054000,3927.6434,3989.9194,
2015/8/11,4083.589,4110.133,4042.004,4066.669,32203419100,3951.3462,3987.6454,
2015/8/12,4025.674,4078.03,4015.355,4016.126,25514619600,3981.1914,3990.11375,
2015/8/13,4010.013,4075.7,3967.821,4075.463,24283697900,4029.9136,3994.0191,
2015/8/14,4097.918,4113.159,4056.727,4073.54,25339299600,4063.2326,3990.1213,
2015/8/17,4058.113,4081.772,4009.99,4077.872,25693963800,4061.934,3985.9843,
2015/8/18,4084.311,4103.054,3816.554,3825.412,31988107000,4013.6826,3968.9546,
2015/8/19,3748.266,3898.74,3668.192,3886.136,26904983900,3987.6846,3955.4034,
2015/8/20,3848.403,3880.824,3761.454,3761.454,21216796500,3924.8828,3930.93585,
2015/8/21,3714.289,3757.779,3578.175,3589.536,21798640300,3828.082,3901.5987,
2015/8/24,3454.598,3468.149,3266.55,3275.534,25543665200,3667.6144,3874.43885,4321.33611667
2015/8/25,3070.007,3200.108,3019.556,3042.927,27608130600,3511.1174,3836.03055,4287.44858333
2015/8/26,3062.566,3192.932,2952.008,3025.692,30827062300,3339.0286,3790.7962,4251.84561667
2015/8/27,3092.812,3206.724,3028.398,3205.638,26729493000,3227.8654,3760.3075,4219.54641667
2015/8/28,3246.236,3353.244,3223.622,3342.286,29949842600,3178.4154,3736.58685,4188.89425
2015/8/31,3307.396,3368.279,3205.537,3366.536,28025040300,3196.6158,3713.4519,4157.82731667
2015/9/1,3296.529,3370.504,3190.578,3362.083,35245852800,3260.447,3684.1483,4124.63285
